Water,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Heptane,Carbon Dioxide,SPECIFIC GRAVITY,Pressure (psia),PR,Hydrate Temperature (K)
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,1194.513,1.682532461,289.129
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,1596.494,2.338107433,291.936
0,94.5,0,0,0,0,0,0,0,0,5.5,0.606875561,1166.666667,1.692734783,288.9642029
1.677852,83.89262,5.704698,2.348993,0.3355705,0.6711409,1.677852,0.3355705,0.3355705,0.3355705,2.684564,0.702698121,1653.463,2.312561695,292.8413
0,48.01,0,0,0,0,0,0,0,0,51.99,1.055679783,348.09,0.396891999,276.8
0,56,0,0,0,0,0,0,0,0,44,0.978546082,1611.111111,1.907182053,291.0880737
0,74.3,0,0,0,0,0,0,0,0,25.7,0.801881912,2500,3.243265683,293.2647095
0,10.04,0,0,0,0,0,0,0,0,89.96,1.4222338,1667,1.617758034,295.16
0,87.56,0,0,0,0,0,0,0,0,12.44,0.673872793,493.13,0.687521471,278.3
0,74.3,0,0,0,0,0,0,0,0,25.7,0.801881912,188.54,0.244594125,274.6
1.677852,83.89262,5.704698,2.348993,0.3355705,0.6711409,1.677852,0.3355705,0.3355705,0.3355705,2.684564,0.702698121,1533.203,2.144363998,292.4726
17.69912,35.39823,8.849558,6.19469,0.8849558,1.769912,4.424779,0.8849558,0.8849558,0.8849558,22.12389,1.070778126,1522.452,1.281467844,291.9916
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,126.9197,0.159780606,272.811
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,93.01056,0.13621641,264.2043
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,2258.198,2.842870297,293.9534
0,92,0,0,0,0,0,0,0,0,8,0.63101001,500,0.714980267,283.0489502
0,78.14,0,0,0,0,0,0,0,0,21.86,0.764811398,435.11,0.576064749,281.6
2.325581,62.0155,7.751938,5.426357,0.7751938,1.550388,3.875969,0.7751938,0.7751938,0.7751938,13.95349,0.945298948,1853.965,2.414967637,293.5163
0,0,0,42,0,0,0,0,0,0,58,1.520419054,240,0.272758268,283.71
0,87,0,0,0,0,0,0,0,0,13,0.679278909,722.2222222,1.00375559,285.7506104
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,577.8903,0.797497048,285.6518
0,80,0,0,0,0,0,0,0,0,20,0.746855368,918,1.227600963,290.79
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,2532.238,3.187862267,294.5508
0.7407407,88.88889,1.851852,2.592593,0.3703704,0.7407407,1.851852,0.3703704,0.3703704,0.3703704,1.851852,0.685139183,1796.173,2.620152797,292.885
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,48.43265,0.060972396,251.2964
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,1855.783,2.561007625,292.9896
2.325581,62.0155,7.751938,5.426357,0.7751938,1.550388,3.875969,0.7751938,0.7751938,0.7751938,13.95349,0.945298948,1869.432,2.435114892,293.5475
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,1783.191,2.244878761,292.7353
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,1272.275,1.755758069,291.0051
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,148.0142,0.208485547,271.8481
0,78.4,0,0,0,0,0,0,0,0,21.6,0.762301415,2055.555556,2.725246805,292.3765564
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,803.1217,0.783993933,289.9197
0,50,0,0,0,0,0,0,0,0,50,1.036468761,725.19,0.834510932,283
